EXAM INTEGRITY REPORT
Student ID: 12345 (Example)
Date: 1/12/2026, 12:50:34 AM
------------------------------------------------
TIME   | TYPE             | DETAILS
[01:03] | MULTIPLE_FACES   | Detected more than 1 person!
[01:03] | MULTIPLE_FACES   | Detected more than 1 person!
[01:03] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:04] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:05] | MULTIPLE_FACES   | Detected more than 1 person!
[01:11] | SYSTEM           | Exam Session Ended
------------------------------------------------
Total Events: 112
